budget;company;country;director;genre;gross;name;rating;released;runtime;score;star;votes;writer;year
80000000;Columbia Pictures Corporation;USA;Rob Reiner;Adventure;522874140;Stand by Me;R;31646;89;81;Wil Wheaton;299174;Stephen King;1986
60000000;Paramount Pictures;USA;John Hughes;Comedy;701363690;Ferris Bueller's Day Off;PG-13;31574;103;78;Matthew Broderick;264740;John Hughes;1986
150000000;Paramount Pictures;USA;Tony Scott;Action;1798006010;Top Gun;PG;31548;110;69;Tom Cruise;236909;Jim Cash;1986
185000000;Twentieth Century Fox Film Corporation;USA;James Cameron;Action;851602480;Aliens;R;31611;137;84;Sigourney Weaver;540152;James Cameron;1986
90000000;Walt Disney Pictures;USA;Randal Kleiser;Adventure;185646130;Flight of the Navigator;PG;31625;90;69;Joey Cramer;36636;Mark H. Baker;1986
60000000;Hemdale;UK;Oliver Stone;Drama;1385305650;Platoon;R;31814;120;81;Charlie Sheen;317585;Oliver Stone;1986
250000000;Henson Associates (HA);UK;Jim Henson;Adventure;127299170;Labyrinth;PG;31590;101;74;David Bowie;102879;Dennis Lee;1986
60000000;De Laurentiis Entertainment Group (DEG);USA;David Lynch;Drama;85512280;Blue Velvet;R;31708;120;78;Isabella Rossellini;146768;David Lynch;1986
90000000;Paramount Pictures;USA;Howard Deutch;Comedy;404716630;Pretty in Pink;PG-13;31471;96;68;Molly Ringwald;60565;John Hughes;1986
150000000;SLM Production Group;USA;David Cronenberg;Drama;404565650;The Fly;R;31639;96;75;Jeff Goldblum;129698;George Langelaan;1986
88000000;Rimfire Films;Australia;Peter Faiman;Adventure;1746350000;Crocodile Dundee;PG-13;31681;97;65;Paul Hogan;79465;Ken Shadie;1986
160000000;Thorn EMI Screen Entertainment;UK;Russell Mulcahy;Action;59000000;Highlander;R;31478;116;72;Christopher Lambert;104860;Gregory Widen;1986
60000000;Twentieth Century Fox Film Corporation;USA;David Seltzer;Comedy;82000000;Lucas;PG-13;31499;100;68;Corey Haim;12228;David Seltzer;1986
250000000;Twentieth Century Fox Film Corporation;USA;John Carpenter;Action;111000000;Big Trouble in Little China;PG-13;31595;99;73;Kurt Russell;101678;Gary Goldman;1986
150000000;De Laurentiis Entertainment Group (DEG);USA;Michael Mann;Crime;86209290;Manhunter;R;31639;120;72;William Petersen;54000;Thomas Harris;1986
170000000;Producers Sales Organization (PSO);USA;Adrian Lyne;Drama;67348440;9½ Weeks;R;31464;117;59;Mickey Rourke;31798;Elizabeth McNeill;1986
100000000;De Laurentiis Entertainment Group (DEG);USA;Stephen King;Action;74336630;Maximum Overdrive;R;31618;98;54;Emilio Estevez;24881;Stephen King;1986
250000000;Geffen Company, The;USA;Frank Oz;Comedy;387473850;Little Shop of Horrors;PG-13;31765;94;69;Rick Moranis;53327;Howard Ashman;1986
27000000;New Century Entertainment Corporation;USA;Mike Marvin;Action;35000000;The Wraith;PG-13;31737;93;59;Charlie Sheen;11635;Mike Marvin;1986
350000000;Universal Pictures;USA;Willard Huyck;Action;162957740;Howard the Duck;PG;31625;110;46;Lea Thompson;36020;Steve Gerber;1986
20000000;New Line Cinema;USA;Stephen Herek;Action;131672320;Critters;PG-13;31513;82;60;Dee Wallace;25517;Domonic Muir;1986
110000000;Orion Pictures;USA;Alan Metter;Comedy;912580000;Back to School;PG-13;31576;96;66;Rodney Dangerfield;23120;Rodney Dangerfield;1986
47000000;Cannon Films;USA;Tobe Hooper;Comedy;80258720;The Texas Chainsaw Massacre 2;UNRATED;31646;89;56;Dennis Hopper;21253;L.M. Kit Carson;1986
150000000;Jay Weston Productions;USA;Clint Eastwood;Action;427240170;Heartbreak Ridge;R;31751;130;68;Clint Eastwood;32954;James Carabatsos;1986
250000000;Paramount Pictures;USA;Leonard Nimoy;Adventure;1097131320;Star Trek IV: The Voyage Home;PG;31742;119;73;William Shatner;66366;Gene Roddenberry;1986
0;TriStar Pictures;USA;John Badham;Comedy;406977610;Short Circuit;PG;31541;98;66;Ally Sheedy;47068;S.S. Wilson;1986
0;Neue Constantin Film;Italy;Jean-Jacques Annaud;Crime;71534870;The Name of the Rose;R;31679;130;78;Sean Connery;86991;Umberto Eco;1986
0;TriStar Pictures;USA;Sidney J. Furie;Action;241598720;Iron Eagle;PG-13;31429;117;53;Louis Gossett Jr.;11304;Kevin Alyn Elders;1986
250000000;Paramount Pictures;USA;Michael Ritchie;Action;798179370;The Golden Child;PG-13;31758;94;59;Eddie Murphy;42997;Dennis Feldman;1986
19000000;Hemdale;USA;Tim Hunter;Crime;46000000;River's Edge;R;31905;99;71;Crispin Glover;12862;Neal Jimenez;1986
250000000;L.A. Films;USA;John Landis;Comedy;392467340;¡Three Amigos!;PG;31758;104;64;Steve Martin;57406;Steve Martin;1986
250000000;Warner Bros.;USA;George P. Cosmatos;Action;490422240;Cobra;R;31555;87;57;Sylvester Stallone;54851;Paula Gosling;1986
0;Gaumont;France;Jean-Jacques Beineix;Drama;20038220;Betty Blue;Not specified;31723;120;74;Jean-Hugues Anglade;14562;Philippe Djian;1986
245000000;Warner Bros.;UK;Roland Joffé;Adventure;172180230;The Mission;PG;31716;125;75;Robert De Niro;47497;Robert Bolt;1986
138000000;Touchstone Pictures;USA;Martin Scorsese;Drama;522939820;The Color of Money;R;31702;119;70;Paul Newman;62495;Walter Tevis;1986
0;Columbia Pictures Corporation;USA;John G. Avildsen;Action;1151039790;The Karate Kid Part II;PG;31583;113;59;Pat Morita;58370;Robert Mark Kamen;1986
0;Lorimar Productions;USA;Nick Castle;Drama;71774310;The Boy Who Could Fly;PG;31681;114;65;Lucy Deakins;4623;Nick Castle;1986
60000000;HBO Films;USA;Robert Harmon;Thriller;58448680;The Hitcher;R;31464;97;73;Rutger Hauer;36191;Eric Red;1986
100000000;Amblin Entertainment;USA;Richard Benjamin;Comedy;374996510;The Money Pit;PG;31497;91;63;Tom Hanks;41278;David Giler;1986
30000000;Paramount Pictures;USA;Tom McLoughlin;Horror;194720570;Jason Lives: Friday the 13th Part VI;R;31625;86;59;Thom Mathews;28310;Tom McLoughlin;1986
250000000;The Saul Zaentz Company;USA;Peter Weir;Adventure;143027790;The Mosquito Coast;PG;31742;117;66;Harrison Ford;23076;Paul Theroux;1986
0;Universal Pictures;USA;Don Bluth;Animation;474830020;An American Tail;G;31737;80;69;Dom DeLuise;41004;Judy Freudberg;1986
40000000;Initial Pictures;UK;Alex Cox;Biography;28265230;Sid and Nancy;R;31723;112;71;Gary Oldman;25032;Alex Cox;1986
100000000;De Laurentiis Entertainment Group (DEG);USA;John Guillermin;Action;47112200;King Kong Lives;PG-13;31765;105;38;Brian Kerwin;4401;Ronald Shusett;1986
45000000;Empire Pictures;USA;Stuart Gordon;Horror;12610000;From Beyond;R;31709;86;67;Jeffrey Combs;16636;H.P. Lovecraft;1986
180000000;TriStar Pictures;USA;Francis Ford Coppola;Comedy;413828410;Peggy Sue Got Married;PG-13;31695;103;63;Kathleen Turner;28529;Jerry Leichtling;1986
190000000;Freddie Fields Productions;USA;Brian Gibson;Horror;409966650;Poltergeist II: The Other Side;PG-13;31555;91;57;JoBeth Williams;20669;Mark Victor;1986
11000000;Empire Pictures;USA;John Carl Buechler;Comedy;54508150;Troll;PG-13;31429;82;43;Michael Moriarty;7569;Ed Naha;1986
0;Metro-Goldwyn-Mayer (MGM);USA;Peter Hyams;Action;385007260;Running Scared;R;31590;107;65;Gregory Hines;9344;Gary DeVore;1986
0;Hawn / Sylbert Movie Company;USA;Michael Ritchie;Comedy;262855440;Wildcats;R;31457;106;59;Goldie Hawn;10239;Ezra Sacks;1986
1110000;Maljack Productions;USA;John McNaughton;Biography;6099390;Henry: Portrait of a Serial Killer;UNRATED;33123;83;70;Michael Rooker;25367;Richard Fire;1986
180000000;ABC Motion Pictures;USA;Harry Winer;Adventure;96977390;SpaceCamp;PG;31569;107;56;Kate Capshaw;11484;Clifford Green;1986
64000000;Orion Pictures;USA;Woody Allen;Comedy;400840410;Hannah and Her Sisters;PG-13;31485;107;80;Mia Farrow;56988;Woody Allen;1986
140000000;Walt Disney Pictures;USA;Ron Clements;Animation;386000000;The Great Mouse Detective;G;31595;74;72;Vincent Price;36539;Peter Young;1986
85000000;De Laurentiis Entertainment Group (DEG);USA;John Irvin;Action;162094590;Raw Deal;R;31569;106;55;Arnold Schwarzenegger;24851;Luciano Vincenzoni;1986
60000000;Sunbow Productions;USA;Nelson Shin;Animation;58496470;The Transformers: The Movie;PG;31632;84;73;Orson Welles;33609;Ron Friedman;1986
0;TaliaFilm II Productions;USA;Hal Needham;Drama;20158820;Rad;PG;31499;91;72;Bart Conner;4039;Sam Bernard;1986
50000000;TriStar Pictures;USA;Fred Dekker;Comedy;5913660;Night of the Creeps;R;31646;88;68;Jason Lively;16077;Fred Dekker;1986
120000000;Cannon Pictures;USA;Tobe Hooper;Horror;48846630;Invaders from Mars;PG;31569;100;55;Karen Black;5878;Richard Blake;1986
0;Columbia Pictures Corporation;USA;Walter Hill;Drama;58390310;Crossroads;R;31485;99;71;Ralph Macchio;11415;John Fusco;1986
60000000;De Haven Productions;UK;David Anspaugh;Drama;286075240;Hoosiers;PG;31835;114;76;Gene Hackman;36604;Angelo Pizzo;1986
0;Svenska Filminstitutet (SFI);Sweden;Andrei Tarkovsky;Drama;3006530;Sacrifice;PG;31717;149;81;Erland Josephson;16571;Andrei Tarkovsky;1986
65000000;Cinema '85;USA;James Foley;Crime;23470000;At Close Range;R;31520;111;70;Sean Penn;11607;Elliott Lewitt;1986
0;Blueline Productions;USA;Peter Markle;Drama;154483840;Youngblood;R;31443;110;61;Rob Lowe;10412;Peter Markle;1986
0;Seasonal Film Corporation;USA;Corey Yuen;Action;46621370;No Retreat, No Surrender;PG;31534;85;56;Kurt McKinney;12803;See-Yuen Ng;1986
0;Universal Pictures;USA;Anthony Perkins;Horror;144816060;Psicosis III;R;31595;93;53;Anthony Perkins;10022;Charles Edward Pogue;1986
200000000;Paramount Pictures;USA;Mike Nichols;Comedy;253142890;Heartburn;R;31618;108;61;Meryl Streep;7570;Nora Ephron;1986
150000000;Warner Bros.;USA;Michael Chapman;Adventure;19537320;The Clan of the Cave Bear;R;31429;98;53;Daryl Hannah;5340;Jean M. Auel;1986
120000000;Golan-Globus Productions;USA;Menahem Golan;Action;177689000;The Delta Force;R;31457;125;56;Chuck Norris;15819;James Bruner;1986
0;Warner Bros.;USA;Wes Craven;Drama;89887310;Deadly Friend;R;31695;91;55;Matthew Labyorteaux;5419;Diana Henstell;1986
0;TriStar Pictures;USA;Edward Zwick;Comedy;387023100;About Last Night...;R;31595;113;62;Rob Lowe;12307;David Mamet;1986
0;Balcor Film Investors;USA;Steve Miner;Comedy;278200000;Soul Man;PG-13;31709;104;52;C. Thomas Howell;6440;Carol Black;1986
0;"A&M; Films";USA;Savage Steve Holland;Comedy;134318060;One Crazy Summer;PG;31632;93;64;John Cusack;11581;Savage Steve Holland;1986
0;De Laurentiis Entertainment Group (DEG);USA;Charles Martin Smith;Comedy;67972180;Trick or Treat;R;31709;98;58;Marc Price;4585;Rhet Topham;1986
180000000;Paramount Pictures;USA;Ron Howard;Comedy;366116100;Gung Ho;PG-13;31485;112;62;Michael Keaton;9965;Edwin Blum;1986
0;American Filmworks;USA;Sidney Lumet;Crime;251470550;The Morning After;R;31771;103;60;Jane Fonda;4943;James Cresson;1986
0;Police Academy Productions;USA;Jerry Paris;Comedy;435791630;Police Academy 3: Back in Training;PG;31492;83;52;Steve Guttenberg;35443;Neal Israel;1986
1750000;40 Acres & A Mule Filmworks;USA;Spike Lee;Comedy;71375020;She's Gotta Have It;R;31632;84;66;Tracy Camilla Johns;5257;Spike Lee;1986
0;Touchstone Pictures;USA;Jim Abrahams;Comedy;716248790;Ruthless People;R;31590;93;69;Bette Midler;22554;Dale Launer;1986
87000000;Delphi V Productions;USA;Paul Michael Glaser;Action;48659120;Band of the Hand;R;31513;109;63;Stephen Lang;2297;Leo Garen;1986
0;Cannon Group;USA;John Frankenheimer;Crime;51866460;52 Pick-Up;R;31723;110;64;Roy Scheider;3866;Elmore Leonard;1986
0;Paramount Pictures;USA;Randa Haines;Drama;318530800;Children of a Lesser God;R;31716;119;72;William Hurt;12538;Mark Medoff;1986
120000000;Columbia Pictures Corporation;USA;Mark L. Lester;Action;159455340;Armed and Dangerous;PG-13;31639;88;56;John Candy;9040;Brian Grazer;1986
11000000;Black Snake;USA;Jim Jarmusch;Comedy;14360000;Down by Law;R;31715;107;78;Tom Waits;39456;Jim Jarmusch;1986
100000000;Orion Pictures;USA;Robert Mandel;Action;206037150;F/X;R;31450;109;67;Bryan Brown;14502;Robert T. Megginson;1986
0;Fuji Television Network;Japan;Masanori Hata;Adventure;132452190;The Adventures of Milo and Otis;G;32745;90;71;Kyôko Koizumi;9178;Masanori Hata;1986
0;Religioso Primitiva;USA;Jonathan Demme;Comedy;83629690;Something Wild;R;31723;114;69;Jeff Daniels;13186;E. Max Frye;1986
180000000;Gladden Entertainment;USA;Marshall Brickman;Sci-Fi;39000000;The Manhattan Project;PG-13;31576;117;61;John Lithgow;4666;Marshall Brickman;1986
50000000;Paramount Pictures;USA;Fred Walton;Horror;129477630;April Fool's Day;R;31499;89;62;Deborah Foreman;11458;Danilo Bach;1986
250000000;Brooksfilms;USA;Alan Johnson;Action;15792600;Solarbabies;PG-13;31742;94;48;Richard Jordan;3397;Walon Green;1986
0;Kings Road Entertainment;USA;Jim McBride;Comedy;176853070;The Big Easy;R;32017;102;66;Dennis Quaid;10022;Daniel Petrie Jr.;1986
0;Lawrence Gordon Productions;USA;Penny Marshall;Comedy;255878040;Jumpin' Jack Flash;R;31695;105;58;Whoopi Goldberg;15703;David Franzoni;1986
400000000;Carthago Films S.a.r.l.;France;Roman Polanski;Adventure;16418250;Piratas;PG-13;31611;121;61;Walter Matthau;6596;John Brownjohn;1986
0;Meltdown Productions;UK;Jimmy T. Murakami;Animation;52740;When the Wind Blows;Not specified;32213;80;78;Peggy Ashcroft;7900;Raymond Briggs;1986
100000000;Touchstone Pictures;USA;Jeff Kanew;Comedy;214582290;Tough Guys;PG;31688;104;62;Burt Lancaster;5584;James Orr;1986
0;Compañía Iberoamericana de TV;Spain;Pedro Almodóvar;Drama;2069520;Matador;NC-17;31478;110;70;Assumpta Serna;8959;Pedro Almodóvar;1986
0;New World Pictures;USA;Harley Cokeliss;Action;66375650;Black Moon Rising;R;31422;100;54;Tommy Lee Jones;4045;John Carpenter;1986
120000000;Cinema Group Ventures;USA;Roger Spottiswoode;Comedy;77909310;The Best of Times;PG-13;31443;104;59;Robin Williams;5523;Ron Shelton;1986
20000000;Paragon Arts International;UK;Kevin Tenney;Horror;73693730;Witchboard;R;31849;98;57;Todd Allen;4744;Kevin Tenney;1986
140000000;Touchstone Pictures;USA;Paul Mazursky;Comedy;621342250;Down and Out in Beverly Hills;R;31443;103;61;Nick Nolte;13569;René Fauchois;1986
85000000;Capital Equipment Leasing;UK;Trevor Nunn;Biography;2776460;Lady Jane;PG-13;31450;136;72;Helena Bonham Carter;5364;Chris Bryant;1986
0;Columbia Pictures Corporation;USA;Thomas Michael Donnelly;Crime;76349090;Quicksilver;PG;31457;105;56;Kevin Bacon;3720;Thomas Michael Donnelly;1986
0;Sunbow Productions;USA;Mike Joens;Animation;59584560;My Little Pony: The Movie;G;31569;86;60;Danny DeVito;2125;George Arthur Bloom;1986
0;Virgin Vision;UK;Ken Russell;Horror;9161720;Gothic;R;31877;87;57;Gabriel Byrne;5843;Lord Byron;1986
180000000;Producers Sales Organization (PSO);USA;Hal Ashby;Action;13051140;8 Million Ways to Die;R;31527;115;57;Jeff Bridges;3607;Lawrence Block;1986
0;TriStar Pictures;USA;Richard Pearce;Crime;123039040;No Mercy;R;31765;106;57;Richard Gere;5564;James Carabatsos;1986
0;Orion Pictures;USA;Gene Wilder;Comedy;80333970;Haunted Honeymoon;PG;31618;82;56;Gene Wilder;5549;Gene Wilder;1986
0;Empire Pictures;USA;Ted Nicolaou;Comedy;3202560;TerrorVision;R;31457;83;57;Diane Franklin;4620;Ted Nicolaou;1986
0;Golan-Globus Productions;USA;Gary Nelson;Action;37516990;Allan Quatermain and the Lost City of Gold;PG;31807;99;44;Richard Chamberlain;7491;H. Rider Haggard;1986
0;HandMade Films;UK;Neil Jordan;Crime;57941840;Mona Lisa;R;31576;104;74;Bob Hoskins;10747;Neil Jordan;1986
0;Delphi Films;USA;Garry Marshall;Comedy;323245570;Nothing in Common;PG;31623;118;59;Tom Hanks;5345;Rick Podell;1986
80000000;Cannon Group;USA;J. Lee Thompson;Action;118343020;Firewalker;PG;31737;104;50;Chuck Norris;4752;Robert Gosnell;1986
0;Cannon Screen Entertainment;UK;Nicolas Roeg;Adventure;4834600;Castaway;R;32031;117;60;Oliver Reed;2649;Lucy Irvine;1986
33000000;Amaretto Films;USA;Richard Wenk;Comedy;49411170;Vamp;R;31611;93;59;Chris Makepeace;3909;Donald P. Borchers;1986
0;British Film Institute (BFI);UK;Derek Jarman;Biography;31510;Caravaggio;Not specified;31653;93;67;Noam Almaz;4072;Derek Jarman;1986
0;Les Films Plain Chant;France;Leos Carax;Crime;214830;Mauvais Sang;UNRATED;31742;116;73;Michel Piccoli;4922;Leos Carax;1986
0;Paramount Pictures;USA;Duncan Gibbins;Drama;46361690;Fire with Fire;PG-13;31541;103;66;Craig Sheffer;1264;Bill Phillips;1986
150000000;Warner Bros.;USA;Harold Ramis;Comedy;123085210;Club Paradise;PG-13;31604;96;49;Robin Williams;5049;Harry Shearer;1986
400000000;Universal Pictures;USA;Ivan Reitman;Comedy;498515910;Legal Eagles;PG;31583;116;59;Robert Redford;8374;Ivan Reitman;1986
0;Thorn EMI Screen Entertainment;UK;Christopher Morahan;Comedy;14763560;Clockwise;PG;31695;96;66;John Cleese;9689;Michael Frayn;1986
0;Atlantic Entertainment Group;USA;Robert M. Young;Drama;134180910;Extremities;R;31646;89;63;Farrah Fawcett;2705;William Mastrosimone;1986
130000000;Metro-Goldwyn-Mayer (MGM);USA;Brian De Palma;Comedy;84754660;Wise Guys;R;31520;100;56;Danny DeVito;4573;George Gallo;1986
0;Atlantic Entertainment Group;USA;Peter Medak;Drama;24440760;The Men's Club;R;31674;101;45;David Dukes;680;Leonard Michaels;1986
0;DD Productions;Switzerland;Claude Berri;Drama;49409390;Jean de Florette;PG;32017;120;81;Yves Montand;20914;Claude Berri;1986
0;Balcor Film Investors;USA;Tom DeSimone;Drama;25104330;Reform School Girls;R;31646;94;52;Linda Carol;1717;Jack Cummins;1986
0;DD Productions;Switzerland;Claude Berri;Drama;39405420;Manon of the Spring;PG;32115;113;80;Yves Montand;17849;Claude Berri;1986
170000000;HandMade Films;UK;Jim Goddard;Adventure;23156830;Shanghai Surprise;PG-13;31653;97;31;Sean Penn;4339;John Kohn;1986
160000000;Lorimar Productions;USA;Sidney Lumet;Drama;38000000;Power;R;31443;111;57;Richard Gere;2287;David Himmelstein;1986
0;Not specified;USA;Jerry Kramer;Comedy;6048490;Modern Girls;PG-13;31723;84;59;Daphne Zuniga;1023;Laurie Craig;1986
200000000;De Laurentiis Entertainment Group (DEG);USA;Bruce Beresford;Comedy;229055000;Crimes of the Heart;PG-13;31800;105;64;Diane Keaton;3079;Beth Henley;1986
0;Cinema VII;USA;John McTiernan;Horror;22782640;Nomads;R;31478;91;55;Lesley-Anne Down;3006;John McTiernan;1986
0;Empire Pictures;USA;Peter Manoogian;Action;46012560;Eliminators;PG;31443;96;45;Andrew Prine;1422;Paul De Meo;1986
0;TMS Pictures;Canada;George Mendeluk;Comedy;21472280;Meatballs III: Summer Job;R;31786;96;33;Sally Kellerman;2003;Janis Allen;1986
60000000;Golan-Globus Productions;USA;J. Lee Thompson;Action;99476310;Murphy's Law;R;31520;100;59;Charles Bronson;3561;Gail Morgan Hickman;1986
0;Edward R. Pressman Film;USA;David Byrne;Musical;25451420;True Stories;PG;31695;90;70;David Byrne;3885;Stephen Tobolowsky;1986
0;Warner Bros.;USA;Prince;Comedy;100904290;Under the Cherry Moon;PG-13;31595;98;49;Prince;2549;Becky Johnston;1986
0;Delphi V Productions;Israel;Moshé Mizrahi;Drama;2786230;Every Time We Say Goodbye;PG-13;31730;95;59;Tom Hanks;1834;Moshé Mizrahi;1986
0;Goldcrest Films International;UK;Julien Temple;Drama;9302110;Absolute Beginners;PG-13;31520;108;56;Patsy Kensit;2659;Colin MacInnes;1986
0;Little Bear;USA;Bertrand Tavernier;Drama;32726000;'Round Midnight;R;31688;133;74;Dexter Gordon;4028;David Rayfiel;1986
40000000;Cannon Group, The;USA;Sam Firstenberg;Action;46796500;Avenging Force;R;31667;104;59;Michael Dudikoff;1808;James Booth;1986
0;Simcom Limited;Canada;Paul Lynch;Action;29955270;Bullies;R;31653;96;54;Jonathan Crombie;340;John Sheppard;1986
0;Compact Yellowbill;UK;John Hough;Adventure;1121320;Biggles: Adventures in Time;PG;32171;88;58;Neil Dickson;2243;W.E. Johns;1986
0;Lorimar Productions;USA;Albert Magnoli;Drama;48457240;American Anthem;PG-13;31590;102;40;Mitchell Gaylord;1284;Evan Archerd;1986
0;Columbia Pictures Corporation;USA;Richard Tuggle;Action;50993160;Out of Bounds;R;31618;93;54;Anthony Michael Hall;1016;Tony Kayden;1986
0;Crown International Pictures;USA;David Beaird;Comedy;47814480;My Chauffeur;R;31436;97;56;Deborah Foreman;1426;David Beaird;1986
180000000;Rastar Pictures;USA;Gene Saks;Comedy;119579430;Brighton Beach Memoirs;PG-13;31771;108;69;Blythe Danner;2720;Neil Simon;1986
0;Ministère de la Culture et de la Communication;France;Éric Rohmer;Drama;374550;Summer;R;31653;98;78;Marie Rivière;4612;Marie Rivière;1986
0;Cannon Group;USA;Paul Nicholas;Drama;31367010;The Naked Cage;R;31478;97;55;Shari Shattuck;327;Paul Nicholas;1986
0;Cannon Screen Entertainment;UK;Richard Franklin;Horror;17204500;Link;R;31674;100;59;Terence Stamp;2080;Lee David Zlotoff;1986
0;Edward R. Pressman Film;UK;Bob Swaim;Thriller;11313990;Half Moon Street;R;31681;90;54;Sigourney Weaver;2157;Edward Behr;1986
0;Aaron Spelling Productions;USA;Tom Moore;Drama;4418630;'night, Mother;PG-13;31806;96;76;Sissy Spacek;1840;Marsha Norman;1986
0;Blake Edwards;USA;Blake Edwards;Action;60298240;A Fine Mess;PG;31632;90;45;Ted Danson;1164;Blake Edwards;1986
0;Chroma III Productions;USA;Mark Griffiths;Comedy;780680;Hardbodies 2;R;31667;88;29;James Karen;895;Mark Griffiths;1986
0;Fons Rademakers Produktie;Netherlands;Fons Rademakers;Drama;2037810;The Assault;PG;31449;155;73;Derek de Lint;2694;Gerard Soeteman;1986
0;Griffon Productions;USA;Paul Schneider;Comedy;2774050;Willy/Milly;PG-13;31730;86;57;Pamela Adlon;323;Alan Friedman;1986
0;Heron Communications;USA;Janet Greek;Drama;2390730;The Ladies Club;R;31503;85;53;Karen Austin;154;Casey Bishop;1986
0;Delphi V Productions;USA;Stuart Rosenberg;Action;1409800;Let's Get Harry;R;31716;102;52;Michael Schoeffling;978;Mark Feldberg;1986
250000000;De Laurentiis Entertainment Group (DEG);USA;Daryl Duke;Adventure;40072500;Tai-Pan;R;31723;127;55;Bryan Brown;1340;John Briley;1986
0;Scary Stuff;USA;Jeffrey Delman;Comedy;27507410;Deadtime Stories;R;31744;93;46;Scott Valentine;973;Jeffrey Delman;1986
170000000;Escalante Productions;USA;Dick Richards;Action;27932140;Heat;R;31849;101;55;Burt Reynolds;1358;William Goldman;1986
0;Kings Road Entertainment;USA;Robert Mandel;Comedy;12540400;Touch and Go;R;31646;101;58;Michael Keaton;684;Alan Ormsby;1986
0;Canadian Broadcasting Corporation (CBC);Canada;Charles Jarrott;Biography;2750000;The Boy in Blue;R;31429;100;54;Nicolas Cage;907;Douglas Bowie;1986
0;Universal Pictures;USA;Alan Alda;Comedy;142050210;Sweet Liberty;PG;31548;106;57;Alan Alda;2300;Alan Alda;1986
0;Marquis;USA;William Fruet;Comedy;6813370;Killer Party;R;31541;91;47;Martin Hewitt;1265;Barney Cohen;1986
0;Rondo Productions;USA;Bill Sherwood;Drama;5376810;Parting Glances;Not specified;31462;90;78;John Bolger;2330;Bill Sherwood;1986
0;Nelvana;Canada;Dale Schott;Animation;85403460;Care Bears Movie II: A New Generation;G;31492;76;53;Maxine Miller;1760;Peter Sauder;1986
140000000;Columbia Pictures Corporation;USA;Richard Pryor;Biography;180341500;Jo Jo Dancer, Your Life Is Calling;R;31534;97;63;Richard Pryor;1288;Rocco Urbisci;1986
0;Balcor Film Investors;USA;Andrew Lane;Action;19437510;Jake Speed;PG;31562;100;53;Wayne Crawford;632;Wayne Crawford;1986
34013760;Cinema Group Ventures;USA;Renny Harlin;Action;33880200;Born American;R;31653;97;43;Mike Norris;1509;Renny Harlin;1986
100000000;Paramount Pictures;USA;Michelle Manning;Action;69477870;Blue City;R;31534;83;44;Judd Nelson;792;Ross Macdonald;1986
0;Cascade Films;Australia;Nadia Tass;Comedy;5444720;Malcolm;PG-13;31721;90;72;Colin Friels;1623;David Parker;1986
0;Miramax;USA;Bob Weinstein;Comedy;26693660;Playing for Keeps;PG-13;31688;102;41;Daniel Jordano;515;Bob Weinstein;1986
0;Golan-Globus Productions;USA;Andrey Konchalovskiy;Drama;87360;Duet for One;R;31809;107;70;Julie Andrews;699;Tom Kempinski;1986
0;Island Pictures;USA;Evelyn Purcell;Comedy;5633580;Nobody's Fool;PG-13;31723;107;55;Rosanna Arquette;652;Beth Henley;1986
0;Paramount Pictures;USA;John Byrum;Comedy;4447460;The Whoopee Boys;R;31646;88;62;Michael O'Keefe;639;Steve Zacharias;1986
0;Blake Edwards;USA;Blake Edwards;Comedy;40798950;That's Life!;PG-13;31695;102;61;Jack Lemmon;1032;Milton Wexler;1986
0;Hemdale;USA;Hal Needham;Comedy;149260;Body Slam;PG;31918;89;53;Dirk Benedict;795;Shel Lytton;1986
0;Rank Organisation, The;UK;David Drury;Thriller;7500000;Defense of the Realm;PG;31737;96;66;Gabriel Byrne;1625;Martin Stellman;1986
0;Cinequanon;Argentina;Eliseo Subiela;Drama;7250000;Man Facing Southeast;R;31849;105;78;Lorenzo Quinteros;2991;Eliseo Subiela;1986
0;Corporation Image M & M;Canada;Denys Arcand;Comedy;19027060;The Decline of the American Empire;R;31730;101;73;Dominique Michel;6622;Denys Arcand;1986
0;Rastar Films;USA;Jack Fisk;Drama;47432870;Violets Are Blue...;PG-13;31527;88;57;Sissy Spacek;553;Naomi Foner;1986
0;Portreeve;UK;Simon Langton;Thriller;15000000;The Whistle Blower;PG;31968;100;62;Michael Caine;1672;Julian Bond;1986
20000000;American Playhouse;USA;Jerrold Freedman;Drama;13011210;Native Son;PG;31758;111;59;Victor Love;448;Richard Wesley;1986
0;Carson Productions;USA;Eugene Corr;Drama;4163930;Desert Bloom;PG;31520;105;66;Jon Voight;821;Linda Remy;1986
0;Alternate Current;USA;Lizzie Borden;Drama;17773780;Working Girls;UNRATED;31856;93;65;Louise Smith;604;Lizzie Borden;1986
0;Ciné Valse;France;Bertrand Blier;Comedy;9259520;Ménage;Not specified;31686;84;70;Gérard Depardieu;2022;Bertrand Blier;1986
0;Caméras Continentales;Denmark;Henning Carlsen;Biography;5838000;Oviri;R;31660;100;62;Donald Sutherland;275;Henning Carlsen;1986
0;Film Corporation of Kenya;UK;Raju Patel;Action;1814100;In the Shadow of Kilimanjaro;R;31541;100;51;John Rhys-Davies;310;T. Michael Harry;1986
0;Cineplex-Odeon Films;Australia;Tim Burstall;Drama;4322660;Kangaroo;R;31849;108;67;Colin Friels;156;Evan Jones;1986
0;Cannon Group;USA;Albert Pyun;Action;23905250;Dangerously Close;R;31541;95;66;John Stockwell;935;Scott Fields;1986
